log2FoldChange	padj	cond1	cond2	gene	lab	type	sig	direction	tissue	group	TF	TFcofactor	EpiGene	Family
0.709697513	3.29e-08	TCDD_Female_adult	Ctrl_Female_adult	Eomes	Aylor	blood_adt_pseudo_corrected	TRUE	up	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	FALSE	T-box
1.026021757	2.9e-08	TCDD_Female_adult	Ctrl_Female_adult	Foxm1	Aylor	blood_adt_pseudo_corrected	TRUE	up	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	FALSE	Fork_head
0.884904906	2.68e-10	TCDD_Female_adult	Ctrl_Female_adult	Gfi1	Aylor	blood_adt_pseudo_corrected	TRUE	up	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	TRUE	zf-C2H2
1.129936049	1.38e-06	TCDD_Female_adult	Ctrl_Female_adult	Hic1	Aylor	blood_adt_pseudo_corrected	TRUE	up	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	FALSE	ZBTB
0.696428936	0.000138513	TCDD_Female_adult	Ctrl_Female_adult	Id2	Aylor	blood_adt_pseudo_corrected	TRUE	up	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	FALSE	bHLH
0.75820411	2.68e-05	TCDD_Female_adult	Ctrl_Female_adult	Jdp2	Aylor	blood_adt_pseudo_corrected	TRUE	up	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	TRUE	TF_bZIP
0.630957024	0.000693621	TCDD_Female_adult	Ctrl_Female_adult	Mxd1	Aylor	blood_adt_pseudo_corrected	TRUE	up	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	FALSE	bHLH
1.346110485	7.32e-07	TCDD_Female_adult	Ctrl_Female_adult	Mxd3	Aylor	blood_adt_pseudo_corrected	TRUE	up	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	FALSE	bHLH
0.662214459	0.00019048	TCDD_Female_adult	Ctrl_Female_adult	Prdm1	Aylor	blood_adt_pseudo_corrected	TRUE	up	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	TRUE	zf-C2H2
0.907717213	0.000107424	TCDD_Female_adult	Ctrl_Female_adult	Tbx21	Aylor	blood_adt_pseudo_corrected	TRUE	up	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	FALSE	T-box
0.914891208	3.32e-06	TCDD_Female_adult	Ctrl_Female_adult	Tshz3	Aylor	blood_adt_pseudo_corrected	TRUE	up	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	FALSE	zf-C2H2
-1.021172401	0.000314709	TCDD_Female_adult	Ctrl_Female_adult	Zfp580	Aylor	blood_adt_pseudo_corrected	TRUE	down	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	FALSE	zf-C2H2
2.519613092	8.1e-17	TCDD_Female_adult	Ctrl_Female_adult	Zfp683	Aylor	blood_adt_pseudo_corrected	TRUE	up	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	FALSE	zf-C2H2
-0.608896515	0.000463935	TCDD_Female_adult	Ctrl_Female_adult	Zfp867	Aylor	blood_adt_pseudo_corrected	TRUE	down	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	FALSE	zf-C2H2
-0.720879983	9.74e-13	BPA10mg_Female_adult	Ctrl_Female_adult	2610021A01Rik	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2
-0.903464783	7.34e-07	BPA10mg_Female_adult	Ctrl_Female_adult	4930522L14Rik	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2
-0.886796114	4.71e-09	BPA10mg_Female_adult	Ctrl_Female_adult	A430033K04Rik	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2
-0.978552713	2.89e-05	BPA10mg_Female_adult	Ctrl_Female_adult	Adnp	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	TRUE	Homeobox
-0.62192476	1.82e-14	BPA10mg_Female_adult	Ctrl_Female_adult	Atf2	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	TRUE	TF_bZIP
1.158055947	2.3e-08	BPA10mg_Female_adult	Ctrl_Female_adult	Atf3	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	TF_bZIP
-0.92215346	1.28e-05	BPA10mg_Female_adult	Ctrl_Female_adult	Atf5	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	TF_bZIP
-0.822679295	0.000196459	BPA10mg_Female_adult	Ctrl_Female_adult	AU041133	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2
-0.682542856	6.01e-07	BPA10mg_Female_adult	Ctrl_Female_adult	Bach2	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	TF_bZIP
2.192090282	1.24e-20	BPA10mg_Female_adult	Ctrl_Female_adult	Batf3	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	TF_bZIP
0.601237886	7.13e-08	BPA10mg_Female_adult	Ctrl_Female_adult	Baz2b	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	TRUE	MBD
-0.881827656	2.94e-13	BPA10mg_Female_adult	Ctrl_Female_adult	Bcl6	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	ZBTB
1.28658044	1.24e-12	BPA10mg_Female_adult	Ctrl_Female_adult	Bhlhe41	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	bHLH
0.86440825	5.92e-06	BPA10mg_Female_adult	Ctrl_Female_adult	Cebpa	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	TF_bZIP
0.81615023	4.37e-07	BPA10mg_Female_adult	Ctrl_Female_adult	Cebpb	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	TF_bZIP
-0.776525886	2.06e-09	BPA10mg_Female_adult	Ctrl_Female_adult	Eomes	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	T-box
-1.36089581	0.000126632	BPA10mg_Female_adult	Ctrl_Female_adult	Foxd4	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	Fork_head
-0.638512475	5.75e-11	BPA10mg_Female_adult	Ctrl_Female_adult	Foxj3	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	Fork_head
0.644748214	1.49e-13	BPA10mg_Female_adult	Ctrl_Female_adult	Foxp1	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	TRUE	Fork_head
-1.641379281	3.85e-15	BPA10mg_Female_adult	Ctrl_Female_adult	Gata1	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-GATA
-1.889415273	2.93e-16	BPA10mg_Female_adult	Ctrl_Female_adult	Gata2	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-GATA
-1.558016951	1.11e-17	BPA10mg_Female_adult	Ctrl_Female_adult	Gatad1	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	TRUE	zf-GATA
-0.608500528	0.000138325	BPA10mg_Female_adult	Ctrl_Female_adult	Gfi1	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	TRUE	zf-C2H2
-0.954676894	0.000149026	BPA10mg_Female_adult	Ctrl_Female_adult	Gfi1b	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	TRUE	zf-C2H2
-0.706727499	6.56e-05	BPA10mg_Female_adult	Ctrl_Female_adult	Gm14325	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2
-0.76222271	7.76e-06	BPA10mg_Female_adult	Ctrl_Female_adult	Gm14326	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2
-1.273191612	4.79e-07	BPA10mg_Female_adult	Ctrl_Female_adult	Gm17655	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2
0.930621594	3.34e-05	BPA10mg_Female_adult	Ctrl_Female_adult	Gm28557	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2
-1.053113436	0.000343304	BPA10mg_Female_adult	Ctrl_Female_adult	Gm3604	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2
0.787774301	7.64e-09	BPA10mg_Female_adult	Ctrl_Female_adult	Hes1	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	bHLH
1.099840075	1.26e-05	BPA10mg_Female_adult	Ctrl_Female_adult	Hes5	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	bHLH
0.71733989	3.53e-22	BPA10mg_Female_adult	Ctrl_Female_adult	Hes6	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	bHLH
-0.95281861	0.000242539	BPA10mg_Female_adult	Ctrl_Female_adult	Hic1	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	ZBTB
-0.846756081	3.91e-12	BPA10mg_Female_adult	Ctrl_Female_adult	Hivep1	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2
0.651295342	2.38e-08	BPA10mg_Female_adult	Ctrl_Female_adult	Hmg20b	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	TRUE	HMG
-2.687395556	4.22e-11	BPA10mg_Female_adult	Ctrl_Female_adult	Hmga2	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	HMGA
0.646297587	4.24e-24	BPA10mg_Female_adult	Ctrl_Female_adult	Irf3	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	IRF
0.647560697	9.81e-11	BPA10mg_Female_adult	Ctrl_Female_adult	Irf5	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	IRF
1.059197093	7.5e-23	BPA10mg_Female_adult	Ctrl_Female_adult	Junb	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	TF_bZIP
0.830443172	1.55e-26	BPA10mg_Female_adult	Ctrl_Female_adult	Klf2	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2
0.624630648	2.05e-07	BPA10mg_Female_adult	Ctrl_Female_adult	Klf4	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2
-0.620831499	6.66e-09	BPA10mg_Female_adult	Ctrl_Female_adult	Lcorl	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	HTH
-1.127881258	1.15e-12	BPA10mg_Female_adult	Ctrl_Female_adult	Litaf	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-LITAF-like
1.332898618	1.33e-07	BPA10mg_Female_adult	Ctrl_Female_adult	Mafb	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	TF_bZIP
-1.321501942	2.7e-25	BPA10mg_Female_adult	Ctrl_Female_adult	Max	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	TRUE	bHLH
-0.726300973	4.85e-18	BPA10mg_Female_adult	Ctrl_Female_adult	Mbd2	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	TRUE	MBD
-0.650228782	7.75e-16	BPA10mg_Female_adult	Ctrl_Female_adult	Mbtps2	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2
-1.458986398	1.2e-12	BPA10mg_Female_adult	Ctrl_Female_adult	Meis1	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	Homeobox
0.738391267	2.27e-24	BPA10mg_Female_adult	Ctrl_Female_adult	Mier2	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	MYB
-0.627736578	4.16e-09	BPA10mg_Female_adult	Ctrl_Female_adult	Mier3	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	MYB
-1.241028862	1.17e-12	BPA10mg_Female_adult	Ctrl_Female_adult	Mxd1	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	bHLH
-1.143203598	6.63e-21	BPA10mg_Female_adult	Ctrl_Female_adult	Mxi1	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	bHLH
1.077191648	3.2e-10	BPA10mg_Female_adult	Ctrl_Female_adult	Myc	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	bHLH
-0.626728318	1.06e-10	BPA10mg_Female_adult	Ctrl_Female_adult	Ncoa1	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	TRUE	bHLH
-0.620536692	6.91e-14	BPA10mg_Female_adult	Ctrl_Female_adult	Nfat5	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	RHD
-0.660676155	5.17e-09	BPA10mg_Female_adult	Ctrl_Female_adult	Nfatc2	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	RHD
-1.000903924	2.34e-17	BPA10mg_Female_adult	Ctrl_Female_adult	Nfe2	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	TF_bZIP
0.747622537	4.25e-05	BPA10mg_Female_adult	Ctrl_Female_adult	Nfia	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	CTF_NFI
1.125490352	5.63e-09	BPA10mg_Female_adult	Ctrl_Female_adult	Nme2	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	Others
0.736908767	2.84e-08	BPA10mg_Female_adult	Ctrl_Female_adult	Nr2f6	Bartolomei	blood_adt_pseudo_corrected	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	RXR-like
-0.735546766	0.000103627	BPA10mg_Female_adult	Ctrl_Female_adult	Nr4a1	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	NGFIB-like
-1.244163653	1.07e-10	BPA10mg_Female_adult	Ctrl_Female_adult	Nr4a3	Bartolomei	blood_adt_pseudo_corrected	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	NGFIB-like
