MGI_symbol	Aylor_TCDD_Female_adult	Bartolomei_BPA10mg_Female_adult	Bartolomei_BPA10ug_Female_adult	Biswal_PM2.5_Female_adult	Mutlu_PM2.5_Female_adult	Zhibin_As_Female_adult	Walker_TBT_Female_adt	Bartolomei_BPA10mg_Male_adult	Bartolomei_BPA10ug_Male_adult	Biswal_PM2.5_Male_adult	Dolinoy_Pb_Male_adult	Mutlu_PM2.5_Male_adult	Zhibin_As_Male_adult	Walker_TBT_Male_adt	Function	Modification	Function_v2	Modification_v2
Actb	0	0	0	-0.585192127	0	0	0	0.7439571	0.725699157	0.734535358	0	0	0	-1.017781428	Chromatin remodeling cofactor	#	Chromatin remodeling	Chromatin remodeling
Actr3b	0	0	0	-0.731616942	0	0	0	0	0	-1.35821989	0	0.812211724	-0.636348197	0.8311089	Chromatin remodeling	#	Chromatin remodeling	Chromatin remodeling
Actr6	0	0	0	0	0	0	0	0	0	0	0	0	0	0.928066509	Chromatin remodeling cofactor	#	Chromatin remodeling	Chromatin remodeling
Adnp	0	-0.978552713	0	0.975627532	0	0	0	0	0	0	0	0	0	0	Chromatin remodeling cofactor	#	Chromatin remodeling	Chromatin remodeling
Anp32a	0	0	0	0	0	0	0	0.629116836	0	0	0	0	0	0	Chromatin remodeling cofactor	#	Chromatin remodeling	Chromatin remodeling
Atrx	0	0	0	0	0	0	0	0	0	0.740241648	0	0	0	0	Chromatin remodeling	#	Chromatin remodeling	Chromatin remodeling
Baz2a	0	0	0	0	0	0	0.683400209	0	0	0	0	0	0	0	"Chromatin remodeling, Histone modification erase"	Histone deacetylation	Chromatin remodeling	Chromatin remodeling
Cdc6	1.023858574	0	0	0	0	0	0	0	0	-0.858883717	0	0	0	0	Chromatin remodeling	#	Chromatin remodeling	Chromatin remodeling
Chaf1a	0	0	0	0	0	0	0	0	0	-0.64928381	0	0	0	0	Chromatin remodeling	#	Chromatin remodeling	Chromatin remodeling
Chaf1b	0	0	0	0	0	0	0	0	0	-0.976154199	0	0	0	0	Chromatin remodeling	#	Chromatin remodeling	Chromatin remodeling
Dek	0	0	0	0	0	0	0	0.778889622	0	0	0	0	0	0	Chromatin remodeling	#	Chromatin remodeling	Chromatin remodeling
Dmap1	0	0	0	0	0	0	-0.668244452	0	0	0	0	0	0	0	Chromatin remodeling	#	Chromatin remodeling	Chromatin remodeling
